id,sku,name,category,subcategory,description,price,rating,stock,features,specs,condition_tags,image_url
1,AM-ET-001,AquaMax TENS Unit Pro,Electrotherapy,TENS,Professional-grade TENS unit with 24 modes for pain relief,8499.0,4.6,45,"24 therapy modes,Dual-channel,Rechargeable Li-ion,LCD display,Timer function","{channels: 2, modes: 24, battery: Li-ion 1800mAh, weight: 280g}","chronic pain,back pain,muscle soreness,arthritis,post-surgery",https://example.com/images/tens-pro.jpg
2,AM-ET-002,AquaMax EMS Muscle Stimulator,Electrotherapy,EMS,Electrical muscle stimulation device for muscle strengthening and recovery,6299.0,4.4,32,"20 intensity levels,8 electrode pads included,Muscle strengthening mode,Recovery mode,Portable design","{intensity_levels: 20, pads: 8, battery: AAA x 4, weight: 350g}","muscle atrophy,post-injury recovery,stroke rehabilitation,fitness training",https://example.com/images/ems-stim.jpg
3,AM-ET-003,AquaMax Interferential Therapy Unit,Electrotherapy,IFT,Clinical interferential therapy unit for deep tissue pain relief,24999.0,4.7,12,"4-electrode setup,Sweep frequency,Vector mode,Deep tissue penetration,Clinical grade","{frequency_range: 1-150 Hz, output: 0-80mA, channels: 4, weight: 2.1kg}","deep tissue pain,sciatica,osteoarthritis,sports injury,chronic pain",https://example.com/images/ift-unit.jpg
4,AM-US-001,AquaMax Ultrasound Therapy System,Ultrasound Therapy,Therapeutic Ultrasound,1 MHz and 3 MHz therapeutic ultrasound for tissue healing and pain reduction,18500.0,4.5,18,"1 MHz & 3 MHz,Touchscreen LCD,Preset protocols,Continuous & pulsed mode,Treatment timer","{frequencies: 1, 3 MHz, intensity: 0.5-3.0 W/cm², head_size: 5 cm², weight: 1.8kg}","tendonitis,sprains,soft tissue injury,inflammation,scar tissue",https://example.com/images/ultrasound.jpg
5,AM-US-002,AquaMax Portable Ultrasound,Ultrasound Therapy,Portable Ultrasound,Compact handheld ultrasound therapy device for home use and mobile physiotherapy,4999.0,4.2,60,"Handheld portable,1 MHz frequency,3 intensity levels,Battery operated,LED indicator","{frequency: 1 MHz, intensity: 0.5-1.5 W/cm², battery: Rechargeable, weight: 150g}","home rehabilitation,mild pain,muscle spasms,minor injuries",https://example.com/images/ultrasound-portable.jpg
6,AM-EX-001,AquaMax Parallel Bars (Adjustable),Exercise Equipment,Gait Training,Heavy-duty adjustable parallel bars for gait training and balance exercises,32499.0,4.8,8,"Width: 50-70 cm adjustable,Height: 75-100 cm adjustable,Anti-slip platform,500kg capacity,Foldable","{material: Steel, length: 300cm, max_weight: 500kg, weight: 35kg}","stroke recovery, gait training, balance disorder, Parkinson's, post-surgery",https://example.com/images/parallel-bars.jpg
7,AM-EX-002,AquaMax Multi-Gym Station,Exercise Equipment,Multi-Gym,Comprehensive rehabilitation multi-gym for strength training and functional recovery,84999.0,4.9,5,"8 exercise stations,Adjustable resistance 5-100kg,Physiotherapy protocols,Safety locks,Digital rep counter","{stations: 8, resistance_range: 5-100kg, footprint: 2.5m x 2m, weight: 180kg}","strength training, ACL recovery, post-fracture, orthopedic rehab, sports injury",https://example.com/images/multi-gym.jpg
8,AM-EX-003,AquaMax Resistance Band Set,Exercise Equipment,Resistance Bands,Complete set of 5 resistance bands with handles and accessories,1299.0,4.3,150,"5 resistance levels,Handles included,Door anchor,Ankle straps,Carrying bag","{resistance: 5-25kg, length: 120cm, material: Latex, weight: 400g}","home exercise, shoulder rehab, knee rehab, flexibility, general fitness",https://example.com/images/band-set.jpg
9,AM-EX-004,AquaMax Balance Board Pro,Exercise Equipment,Balance Training,Wobble balance board for proprioception training and ankle rehabilitation,3499.0,4.5,42,"Adjustable tilt angle,Non-slip surface,360° rotation,Max weight 150kg,Progressive difficulty","{diameter: 40cm, max_weight: 150kg, material: ABS + PVC, weight: 1.2kg}","ankle sprain, balance training, proprioception, core stability, vestibular rehab",https://example.com/images/balance-board.jpg
10,AM-HT-001,AquaMax Underwater Treadmill,Hydrotherapy,Aquatic Treadmill,Underwater treadmill for aquatic gait training and low-impact rehabilitation,185000.0,4.9,3,"Speed: 0.5-8 km/h,Adjustable depth,Anti-corrosion frame,Digital control panel,Safety harness","{speed_range: 0.5-8 km/h, depth: adjustable, motor: 2HP waterproof, weight: 220kg}","aquatic therapy, gait training, arthritis, joint replacement, sports injury, low-impact cardio",https://example.com/images/underwater-treadmill.jpg
11,AM-HT-002,AquaMax Hydrotherapy Pool System,Hydrotherapy,Therapy Pool,Compact hydrotherapy pool with underwater massage jets and adjustable temperature,450000.0,4.8,2,"Underwater massage jets,Temperature control 30-38°C,Modular installation,Filtration system,Safety rails","{dimensions: 3m x 2m x 1.2m, capacity: 7000L, temperature: 30-38°C, weight: 850kg}","chronic pain, fibromyalgia, cerebral palsy, spinal injury, neurological rehab",https://example.com/images/hydro-pool.jpg
12,AM-HC-001,AquaMax Paraffin Wax Bath,Heat Therapy,Paraffin Bath,Professional paraffin wax bath for heat therapy of hands and joints,5499.0,4.4,28,"Temperature control 45-65°C,Rapid melt technology,Safety lock,Capacity 3L,Includes wax and liners","{capacity: 3L, temperature: 45-65°C, power: 300W, weight: 2.5kg}","arthritis, joint stiffness, hand pain, carpal tunnel, Raynaud's",https://example.com/images/paraffin-bath.jpg
13,AM-HC-002,AquaMax Cryotherapy Unit,Cold Therapy,Cryotherapy,Localized cryotherapy unit for pain relief and inflammation reduction,12999.0,4.5,15,"Temperature: -10°C to 15°C,Adjustable timer,Multiple applicators,Digital display,Portable","{temperature_range: -10 to 15°C, timer: 1-30 min, applicators: 4, weight: 4.2kg}","acute injury, post-surgical swelling, inflammation, sports injury, sprain",https://example.com/images/cryo-unit.jpg
14,AM-MA-001,AquaMax Rollator Walker (Premium),Mobility Aids,Walker,Premium aluminum rollator with seat and storage basket,7499.0,4.6,55,"Ergonomic hand brakes,Padded seat & backrest,Storage basket,Height adjustable,Folding design","{weight_capacity: 130kg, wheel_size: 20cm, weight: 6.8kg, frame: Aluminum}","elderly mobility, post-surgery, balance disorder, Parkinson's, general weakness",https://example.com/images/rollator.jpg
15,AM-MA-002,AquaMax Electric Wheelchair,Mobility Aids,Wheelchair,Compact electric wheelchair with joystick control and 25km range,54999.0,4.7,10,"Joystick control,25km range,Foldable frame,Suspension system,Speed: 0-6 km/h","{max_speed: 6 km/h, range: 25km, weight_capacity: 120kg, battery: 24V 20Ah, weight: 28kg}","paraplegia, spinal cord injury, multiple sclerosis, muscular dystrophy, elderly mobility",https://example.com/images/e-wheelchair.jpg
16,AM-MA-003,AquaMax Patient Transfer Lift,Mobility Aids,Patient Lift,Electric patient transfer lift for safe moving of patients with limited mobility,28999.0,4.8,7,"Electric lift motor,180kg capacity,Sling included,Emergency lowering,Adjustable base","{capacity: 180kg, lift_range: 50-180cm, base_width: adjustable, weight: 32kg}","bedridden, post-surgery, spinal injury, elderly care, neurological disorder",https://example.com/images/patient-lift.jpg
17,AM-MT-001,AquaMax Professional Massage Table,Massage Therapy,Treatment Table,3-section electric massage table with height adjustment and premium upholstery,18999.0,4.7,14,"Electric height adjustment,3-section design,Face cradle & armrests,Premium upholstery,250kg capacity","{dimensions: 195cm x 70cm, height_range: 55-95cm, capacity: 250kg, weight: 42kg}","physiotherapy clinic, massage therapy, chiropractic, osteopathy, general treatment",https://example.com/images/massage-table.jpg
18,AM-MT-002,AquaMax Deep Tissue Massage Gun,Massage Therapy,Percussion Massager,Professional percussion massage gun with 6 attachments and 30 speed levels,3999.0,4.5,78,"30 speed levels,6 interchangeable heads,Quiet brushless motor,4-hour battery,LCD display","{speeds: 30, attachments: 6, battery: Li-ion 2500mAh, amplitude: 12mm, weight: 900g}","muscle recovery, sports massage, DOMS, myofascial release, general pain relief",https://example.com/images/massage-gun.jpg
19,AM-DG-001,AquaMax Dynamometer (Hand Grip),Diagnostic,Strength Testing,Digital hand grip dynamometer for measuring grip strength in rehabilitation,8499.0,4.4,22,"Digital LCD display,Auto-capture,Bluetooth data export,Adjustable handle,Carrying case","{range: 0-90kg, accuracy: ±0.1kg, units: kg, lb, N, battery: AAA x 2, weight: 350g}","grip strength assessment, stroke rehab, hand injury, research, geriatric assessment",https://example.com/images/dynamometer.jpg
20,AM-DG-002,AquaMax Goniometer Set (Digital),Diagnostic,Range of Motion,Set of 3 digital goniometers for precise joint range of motion measurement,3499.0,4.3,35,"Set of 3 sizes,Digital LCD,Memory function,±0.5° accuracy,Ergonomic arms","{sizes: 15cm, 30cm, 45cm, accuracy: ±0.5°, display: LCD, battery: CR2032, weight: 200g}","range of motion assessment, joint flexibility, orthopedic evaluation, physiotherapy assessment",https://example.com/images/goniometer.jpg
21,AM-PD-001,AquaMax Pediatric Standing Frame,Pediatric Rehabilitation,Standing Frame,Adjustable standing frame for children with cerebral palsy and developmental disorders,24999.0,4.8,6,"Height adjustable 80-140cm,Trays & activity surfaces,Safety harness,Wheels with brakes,Growth adaptable","{height_range: 80-140cm, max_weight: 50kg, material: Steel, weight: 18kg}","cerebral palsy, developmental delay, pediatric rehab, standing training, hypotonia",https://example.com/images/pediatric-stander.jpg
22,AM-PD-002,AquaMax Pediatric Therapy Ball Set,Pediatric Rehabilitation,Sensory Integration,Set of 5 anti-burst therapy balls for pediatric sensory integration,2199.0,4.2,65,"Anti-burst material,5 sizes: 30-65cm,Pump included,Color-coded,Non-slip surface","{sizes: 30, 40, 50, 55, 65cm, material: PVC, max_weight: 200kg, weight: 3kg total}","sensory integration, pediatric therapy, balance training, ADHD, autism, core strengthening",https://example.com/images/pediatric-balls.jpg
23,AM-HC-003,AquaMax Adjustable Hospital Bed (Home),Home Care,Hospital Bed,Electric 5-function hospital bed for home care with side rails and remote control,45999.0,4.7,9,"5-function electric,Remote control,Side rails,Trendelenburg position,Medical mattress included","{dimensions: 200cm x 90cm, height_range: 40-80cm, max_weight: 180kg, weight: 95kg}","home care, bedridden, post-surgery, elderly care, paralysis, long-term care",https://example.com/images/hospital-bed.jpg
24,AM-HC-004,AquaMax Over-Bed Table,Home Care,Patient Table,Height-adjustable over-bed table with tilt-top surface and wheels,2499.0,4.3,80,"Height adjustable,Tilt-top surface,Locking wheels,Cup holder,Easy assembly","{surface: 60cm x 40cm, height_range: 70-110cm, max_weight: 25kg, weight: 4.5kg}","bedridden, home care, elderly, post-surgery, convenience",https://example.com/images/overbed-table.jpg
25,AM-SR-001,AquaMax Isokinetic Testing System,Sports Rehabilitation,Isokinetic Testing,Clinical-grade isokinetic testing and training system for muscle strength assessment,485000.0,4.9,2,"Computerized control,Real-time biofeedback,Multiple test modes,Exportable reports,Safety stops","{speed_range: 0-500°/s, torque_accuracy: ±1%, software: Windows-based, weight: 320kg}","ACL rehab, sports medicine, muscle strength testing, athletic performance, research",https://example.com/images/isokinetic.jpg
26,AM-SR-002,AquaMax Plyometric Box Set,Sports Rehabilitation,Plyometrics,Set of 4 stackable plyometric boxes for jump training and rehabilitation,6499.0,4.4,28,"4 stackable heights,Anti-slip surface,Rubber feet,Steel frame,Max weight 200kg","{heights: 15, 30, 45, 60cm, material: Steel, max_weight: 200kg, weight: 22kg total}","jump training, ACL rehab, functional fitness, sports conditioning, explosive power",https://example.com/images/plyo-box.jpg
27,AM-NR-001,AquaMax FES Bike,Neurological Rehabilitation,FES,FES cycling system for spinal cord injury and neurological rehabilitation,285000.0,4.8,2,"12-channel FES,Adjustable resistance,Software control,Real-time muscle monitoring,Safety cutoff","{channels: 12, resistance: 0-100W, software: Windows-based, weight: 85kg}","spinal cord injury, stroke, multiple sclerosis, neurological disorder, muscle activation",https://example.com/images/fes-bike.jpg
28,AM-NR-002,AquaMax VR Rehab System,Neurological Rehabilitation,VR Therapy,Immersive VR rehabilitation system for neurological and motor recovery,125000.0,4.7,4,"VR headset included,Motion tracking,Gamified exercises,Progress analytics,Multi-patient profiles","{headset: Meta Quest 2, tracking: 6 DOF, exercises: 50+, software: Cloud-based, weight: 5kg}","stroke rehab, Parkinson's, brain injury, cognitive rehab, motor control, balance training",https://example.com/images/vr-rehab.jpg
29,AM-RR-001,AquaMax Spirometer (Digital Incentive),Respiratory Rehabilitation,Spirometry,Digital incentive spirometer for respiratory rehabilitation and lung capacity training,1899.0,4.3,120,"Digital LCD,Goal-setting,Progress tracking,Hygienic disposable mouthpieces,Compact design","{volume_range: 0-5000mL, accuracy: ±3%, display: LCD, battery: CR2032, weight: 120g}","COPD, post-surgery lung recovery, asthma, pneumonia recovery, respiratory weakness",https://example.com/images/spirometer.jpg
30,AM-RR-002,AquaMax OPEP Device,Respiratory Rehabilitation,Airway Clearance,OPEP device for airway clearance in COPD and cystic fibrosis,2499.0,4.5,90,"Adjustable resistance,Vibrating mesh,Hygienic design,Portable,Mouthpiece & mask included","{resistance_levels: 5, flow_range: 5-30 L/min, material: Medical grade, weight: 80g}","COPD, cystic fibrosis, bronchitis, mucus clearance, post-surgical, asthma",https://example.com/images/opep-device.jpg
31,AM-TD-001,AquaMax Cervical Traction Device,Traction Therapy,Cervical Traction,Over-door cervical traction device for neck pain relief and decompression,2999.0,4.2,48,"Over-door setup,Adjustable weight 1-10kg,Padded head halter,Spreader bar,Easy assembly","{weight_range: 1-10kg, halter_material: Cotton, door_clip: Metal, weight: 800g}","cervical spondylosis, neck pain, herniated disc, radiculopathy, tension headache",https://example.com/images/cervical-traction.jpg
32,AM-TD-002,AquaMax Lumbar Traction Table,Traction Therapy,Lumbar Traction,Electric lumbar traction table with computerized decompression and heat therapy,125000.0,4.8,4,"Computerized decompression,Heat therapy integrated,Adjustable positioning,Safety sensors,Treatment presets","{traction_force: 0-90kg, table_length: 200cm, heat: 40-50°C, weight: 180kg}","lumbar disc herniation, sciatica, spinal stenosis, chronic back pain, degenerative disc disease",https://example.com/images/lumbar-traction.jpg
33,AM-CP-001,AquaMax IPC System,Compression Therapy,IPC,Clinical IPC system for lymphedema and DVT prevention,18999.0,4.6,16,"4-chamber sequential,Adjustable pressure 30-120mmHg,Timer,Leg & arm garments included,Quiet pump","{chambers: 4, pressure_range: 30-120mmHg, garments: leg, arm, weight: 3.5kg}","lymphedema, DVT prevention, circulation issues, post-surgical swelling, chronic venous insufficiency",https://example.com/images/ipc-system.jpg
34,AM-CP-002,AquaMax Compression Pump (Home),Compression Therapy,Home Compression,Compact home compression pump for daily lymphedema management,6499.0,4.3,38,"3 compression modes,Adjustable pressure,Single-leg garment,Quiet operation,Auto shut-off","{modes: 3, pressure_range: 20-80mmHg, garment: single leg, timer: 1-60 min, weight: 1.8kg}","lymphedema, leg swelling, varicose veins, post-surgery recovery, elderly circulation",https://example.com/images/compression-home.jpg
35,AM-LT-001,AquaMax LLLT Device,Laser Therapy,LLLT,Clinical LLLT device with 650nm and 808nm wavelengths for pain relief and tissue healing,24999.0,4.5,13,"Dual wavelength 650nm & 808nm,Adjustable power,Treatment timer,Portable,Safety goggles included","{wavelengths: 650nm, 808nm, power: 100-500mW, timer: 1-30 min, battery: Li-ion, weight: 450g}","chronic pain, wound healing, tendonitis, inflammation, arthritis, soft tissue injury",https://example.com/images/lllt-device.jpg
36,AM-SW-001,AquaMax ESWT Unit,Shockwave Therapy,ESWT,Radial shockwave therapy unit for chronic musculoskeletal conditions,185000.0,4.8,3,"Radial shockwave,5 applicators,Adjustable intensity 1-5 bar,Touchscreen control,Treatment counter","{frequency: 1-22 Hz, pressure: 1-5 bar, applicators: 5, power: AC 220V, weight: 8kg}","plantar fasciitis, tennis elbow, calcific tendinitis, chronic tendinopathy, cellulite",https://example.com/images/shockwave.jpg
37,AM-CPM-001,AquaMax Knee CPM Machine,CPM Therapy,Knee CPM,Knee continuous passive motion machine for post-surgical knee rehabilitation,54999.0,4.7,8,"Adjustable range 0-120°,Speed control,Pause timer,Remote control,Safety sensors","{range: 0-120°, speed: 1-8°/s, pause: 0-30s, max_weight: 150kg, weight: 22kg}","knee replacement, ACL reconstruction, post-surgical knee, joint stiffness, arthroscopy",https://example.com/images/knee-cpm.jpg
38,AM-WA-001,AquaMax Gel Cushion,Wheelchair Accessories,Cushion,Gel-infused pressure relief cushion for wheelchair users,2499.0,4.4,110,"Gel-infused core,Breathable cover,Waterproof base,Non-slip bottom,Machine washable cover","{dimensions: 45cm x 45cm x 5cm, material: Gel + foam, max_weight: 150kg, weight: 1.5kg}","pressure sore prevention, wheelchair user, spinal injury, elderly, long-term sitting",https://example.com/images/gel-cushion.jpg
39,AM-GN-001,AquaMax Therapy Hot Pack,General Therapy,Heat Pack,Reusable microwaveable hot pack for moist heat therapy,899.0,4.2,200,"Microwaveable,Reusable,Flexible gel,Moist heat,Machine washable cover","{dimensions: 30cm x 20cm, material: Gel, heat_time: 2-3 min, weight: 800g}","muscle pain, menstrual cramps, back pain, arthritis, general pain relief",https://example.com/images/hot-pack.jpg
40,AM-GN-002,AquaMax Therapy Cold Pack,General Therapy,Cold Pack,Reusable cold pack with instant cold technology for acute injury management,699.0,4.1,250,"Instant cold technology,Flexible when frozen,Reusable,Leak-proof,Velcro strap","{dimensions: 25cm x 15cm, material: Gel, cold_duration: 30-45 min, weight: 500g}","acute injury, swelling, sports injury, bruising, post-surgical, inflammation",https://example.com/images/cold-pack.jpg
